airport,icao,city,state,country,runwaylength,runwaywidth,height,lat,long
Aeroporto regional de maringa,SBMH,,,Brazil,2100 m,44 m,544 m,-23.48,-52.01
Afonso pena,SBCT,,,Brazil,1799 m,45 m,910 m,-25.53,-49.18
Alta floresta,SBAT,,,Brazil,2513 m,30 m,288 m,-9.87,-56.11
Altamira,SBHT,,,Brazil,2003 m,38 m,112 m,-3.25,-52.25
Amapa,SBAM,,,Brazil,1524 m,45 m,13 m,2.08,-50.86
Anapolis ab,SBAN,,,Brazil,3300 m,45 m,1136 m,-16.23,-48.96
Aracatuba,SBAU,,,Brazil,2119 m,35 m,414 m,-21.14,-50.42
Araraquara,SBAQ,,,Brazil,1799 m,29 m,711 m,-21.81,-48.13
Araxa,SBAX,,,Brazil,1900 m,29 m,998 m,-19.56,-46.96
Assis,SBAS,,,Brazil,1685 m,29 m,563 m,-22.64,-50.46
Augusto severo,SBNT,,,Brazil,2600 m,45 m,51 m,-5.91,-35.25
Bacacheri,SBBI,,,Brazil,1389 m,29 m,931 m,-25.41,-49.23
Barra do garcas,SBBW,,,Brazil,1598 m,29 m,349 m,-15.86,-52.39
Bartolomeu lisandro,SBCP,,,Brazil,1544 m,45 m,17 m,-21.7,-41.3
Bauru,SBBU,,,Brazil,1499 m,35 m,615 m,-22.35,-49.05
Boa vista,SBBV,,,Brazil,2699 m,45 m,84 m,2.85,-60.69
Bom jesus da lapa,SBLP,,,Brazil,1210 m,29 m,443 m,-13.26,-43.41
Cabo frio,SBCB,,,Brazil,1699 m,29 m,4 m,-22.92,-42.07
Cachimbo,SBCC,,,Brazil,2602 m,45 m,537 m,-9.33,-54.97
Campo delio jardim de mattos,SBAF,,,Brazil,2001 m,52 m,33 m,-22.88,-43.38
Campo dos bugres,SBCX,,,Brazil,1939 m,30 m,753 m,-29.2,-51.19
Campo fontenelle,SBYS,,,Brazil,2108 m,45 m,599 m,-21.99,-47.34
Campo grande,SBCG,,,Brazil,2603 m,42 m,558 m,-20.47,-54.67
Canoas,SBCO,,,Brazil,2642 m,41 m,7 m,-29.95,-51.14
Carajas,SBCJ,,,Brazil,2000 m,45 m,621 m,-6.12,-50
Caravelas,SBCV,,,Brazil,1150 m,49 m,10 m,-17.65,-39.25
Cariri,SBJU,,,Brazil,1799 m,45 m,409 m,-7.22,-39.27
Carlos prates,SBPR,,,Brazil,925 m,17 m,928 m,-19.91,-43.99
Carolina,SBCI,,,Brazil,1799 m,45 m,172 m,-7.32,-47.46
Cascavel,SBCA,,,Brazil,1615 m,29 m,753 m,-25,-53.5
Cataratas intl,SBFI,,,Brazil,2194 m,45 m,239 m,-25.6,-54.49
Chafei amsei,SBBT,,,Brazil,1799 m,29 m,578 m,-20.58,-48.59
