origin,destination
SBMH,SBBR
SBAM,SBBR
SBAN,SBBR
SBAN,SBSP
SBBV,SBBR
SBBV,SBSP
SBBV,SBGL
SBCO,SBBR
SBSP,SBBR
SBSP,SBGL
SBSP,SBIL
SBSP,SBJV
SBSP,SBPL
SBSP,SBRJ
SBFN,SBPL
SBGL,SBBR
SBGL,SBSP
SBGL,SBIL
SBGL,SBJV
SBGL,SBPL
SBGL,SBQV
SBGL,SBMO
SBRF,SBGR
SBGR,SBBR
SBGR,SBGL
SBGR,SBLO
SBGR,SBRJ
SBGR,SBQV
SBGR,SBJV
SBIL,SBBR
SBIL,SBRJ
SBIL,SBSP
SBJV,SBBR
SBJV,SBRJ
SBJV,SBGL
SBJV,SBSP
SBLO,SBBR
SBLO,SBJV
SBOI,SBBR
SBPL,SBBR
SBPL,SBFN
SBRJ,SBBR
SBRJ,SBSP
SBRJ,SBIL
SBRJ,SBJV
SBRJ,SBPL
SBQV,SBBR
SBQV,SBGL
SBMO,SBBR
SBMO,SBSP
SBBR,SBMH
SBBR,SBAM
SBBR,SBAN
SBBR,SBBV
SBBR,SBCO
SBBR,SBSP
SBBR,SBFN
SBBR,SBGL
SBBR,SBRF
SBBR,SBGR
SBBR,SBIL
SBBR,SBJV
SBBR,SBLO
SBBR,SBOI
SBBR,SBPL
SBBR,SBRJ
SBBR,SBQV
SBBR,SBMO
